Car ID,License Plate,Confidence
5.0,NW51TSU,0.1094907141734644
3.0,NA13NPU,0.3214016505459377
5.0,NO51VSU,0.030402287138641612
3.0,NA13NPU,0.1969241732353381
5.0,NU51VSU,0.3968526148452795
3.0,MA13NRU,0.18350056815932692
5.0,HL51NSU,0.16902151822135472
3.0,NA13NRU,0.17303829027030093
3.0,NA13NRU,0.43149207834913184
5.0,ML51VSU,0.4761424240555393
3.0,NA13NRU,0.43482970636082324
3.0,NA13NRU,0.2854002593303259
3.0,NA13NRU,0.2435622461987954
3.0,MA13NRU,0.6201196840733207
3.0,MA13NRU,0.17813408716161425
3.0,NA13NRL,0.3689830080388007
5.0,HD51VSU,0.2988760672511391
3.0,NA13NRU,0.7995902677453127
3.0,NA13NRU,0.3309183941551728
5.0,CD51VSU,0.1715260170064919
3.0,NA13NRU,0.29593060826551554
3.0,NA13NRU,0.3300876383667944
3.0,NA13MRU,0.6666397738046727
3.0,NA13NRU,0.5146506867178345
5.0,MT51VSU,0.3088533335574692
3.0,NA13NRU,0.14971499994459164
3.0,MA13MRU,0.19442389271078164
5.0,CQ35ISV,0.04201146477707286
3.0,NA13NRU,0.12495204428054527
5.0,CZ51VSU,0.11613275125773781
3.0,NA13NRU,0.5026940268749623
6.0,GX15OGJ,0.19324764452251153
5.0,IW51YSU,0.012656103978365627
5.0,CI51WSU,0.02091987981651655
6.0,GX15OGJ,0.14071877789038598
5.0,MT51VSU,0.09652829088617276
6.0,GX15OGJ,0.4664686381404037
